meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.055258,1.96,2.076216,3.228654,3.045917,3.324711,4.021047,3.824714,4.511641,4.511641,4.967435,5.609726,ChangeInsulationRValueForExteriorWalls,r_value,19.72,4.251335897,4.251336,5.760639,5.760639,5.760639,7.233481,7.233481,7.233481,8.737652,8.737652,10.13278,10.13278,11.71557,18.42509,ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.055258,1.96,2.076216,3.228654,3.045917,3.324711,4.021047,3.824714,4.511641,4.511641,4.967435,5.609726,3
ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.51884,10.12714,10.6393,12.76634,12.02719,15.53486,15.53486,15.53486,15.53486,ChangeInsulationRValueForRoofs,r_value_roof,19.72,24.61399957,24.614,24.614,24.614,24.614,30.11975,30.11975,30.11975,30.11975,30.11975,30.11975,30.11975,34.63285,34.63285,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.51884,10.12714,10.6393,12.76634,12.02719,15.53486,15.53486,15.53486,15.53486,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.618322892,0.618322892,0.618323,0.561968,0.561968,0.561968,0.417557,0.417557,0.417557,0.417557,0.417557,0.417557,0.417557,0.398361,0.398361,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.027602984,1.027602984,1.027603,1.027603,1.027603,1.027603,1.027603,1.027603,1.027603,0.620788,0.620788,0.620788,0.620788,0.620788,0.620788,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.027602984,1.027602984,1.027603,1.027603,1.027603,1.027603,1.027603,1.027603,1.027603,0.620788,0.620788,0.620788,0.620788,0.620788,0.620788,2
ChangeUValueandSHGCOfWindows,window_shgc,0.227,0.227,0.227,0.218,0.218,0.218,0.397,0.397,0.397,0.397,0.397,0.397,0.397,0.407,0.407,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.469,0.469,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,2
SetGasBurnerEfficiency,eff,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,SetGasBurnerEfficiency,eff,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,3
ReplaceLightsInSpaceTypeWithLPD,lpd,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,10.7639,ReplaceLightsInSpaceTypeWithLPD,lpd,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,17.22224,ReplaceLightsInSpaceTypeWithLPD,lpd,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,16.899323,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,3.312715874,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_person,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ChangeOutdoorAir,design_spec_outdoor_air_per_person,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,ChangeOutdoorAir,design_spec_outdoor_air_per_person,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,2
ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
